,Name,Brand,Pack Size,Water Source,Falvor,Container,Price,100% Natural,Anti-Oxidant,Artesian,BPA Free Plastic,Caffeinated,Carbonated,Electrolytes,Energy Drinks,Enhanced,Ethically Sourced,Fair Trade,Flavored,Gluten FREE,Green Tea,Kosher,Low Calorie,Mineral Water,No Artifical Flavors,No Artifical Preservatives,No Artifical Sweetners,Non-Alcoholic Wine,Non GMO,Non-Sparkling Water,Nutritional,Organic,Organic Cane Sugar,Preservatice Free,Purified Water,Regular Soda,Sodium-Free,Soy FREE,Sparkling Juice,Sparkling Water,Spring Water,Sweetened,Tea,Twist off Top,USDA Organic,Under 100 Calories,30 Calories,Variety Pack,Vegan,Zero Carb,Zero Calorie,Zero Sodium,Zero Calories,Zero Sugar,Zero Sweeteners,Beverage Size,Flavor,No Artificial Preservatives,Preservative FREE,No Artificial Flavors,No Artificial Sweeteners
0,Cana Royal Water - Strong - Carbonated Mineral Water (Heavy Bubbles) - 700 ml (6 Glass Bottles),Cana Royal Water,6,Artesian Water,,Glass,31.13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23.7,None,,,,
0,Cana Royal Water - Strong - Carbonated Mineral Water (Heavy Bubbles) - 700 ml (6 Glass Bottles),Cana Royal Water,6,Artesian Water,,Glass,31.13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23.7,None,,,,
0,Cana Royal Water - Strong - Carbonated Mineral Water (Heavy Bubbles) - 700 ml (12 Glass Bottles),Cana Royal Water,12,Artesian Water,,Glass,54.45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23.7,None,,,,
0,Cana Royal Water - Strong - Carbonated Mineral Water (Heavy Bubbles) - 700 ml (12 Glass Bottles),Cana Royal Water,12,Artesian Water,,Glass,54.45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23.7,None,,,,
0,Cana Royal Water - Strong - Carbonated Mineral Water (Heavy Bubbles) - 330 ml (24 Glass Bottles),Cana Royal Water,24,Artesian Water,,Glass,98.89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11.15,None,,,,
0,Cana Royal Water - Strong - Carbonated Mineral Water (Heavy Bubbles) - 330 ml (24 Glass Bottles),Cana Royal Water,24,Artesian Water,,Glass,98.89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11.15,None,,,,
0,Cana Royal Water - Strong - Carbonated Mineral Water (Heavy Bubbles) - 330 ml (12 Glass Bottles),Cana Royal Water,12,Artesian Water,,Glass,56.65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11.15,None,,,,
0,Cana Royal Water - Strong - Carbonated Mineral Water (Heavy Bubbles) - 330 ml (12 Glass Bottles),Cana Royal Water,12,Artesian Water,,Glass,56.65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11.15,None,,,,
0,Cana Royal Water - Gently Sparkling - Carbonated Mineral Water (Low Bubbles) - 700 ml (6 Glass Bottles),Cana Royal Water,6,Artesian Water,,Glass,31.13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23.7,None,,,,
0,Cana Royal Water - Gently Sparkling - Carbonated Mineral Water (Low Bubbles) - 700 ml (6 Glass Bottles),Cana Royal Water,6,Artesian Water,,Glass,31.13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23.7,None,,,,
0,Cana Royal Water - Gently Sparkling - Carbonated Mineral Water (Low Bubbles) - 700 ml (12 Glass Bottles),Cana Royal Water,12,Artesian Water,,Glass,54.45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23.7,None,,,,
0,Cana Royal Water - Gently Sparkling - Carbonated Mineral Water (Low Bubbles) - 700 ml (12 Glass Bottles),Cana Royal Water,12,Artesian Water,,Glass,54.45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23.7,None,,,,
0,Cana Royal Water - Gently Sparkling - Carbonated Mineral Water (Low Bubbles) - 575 ml (20 Plastic Bottles),Cana Royal Water,20,Artesian Water,,Plastic,83.38,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19.44,None,,,,
0,Cana Royal Water - Gently Sparkling - Carbonated Mineral Water (Low Bubbles) - 575 ml (20 Plastic Bottles),Cana Royal Water,20,Artesian Water,,Plastic,83.38,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19.44,None,,,,
